1	5	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 18:53:16
2	5	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 20:44:55
3	5	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 21:33:55
4	5	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 21:53:12
5	5	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 22:06:39
6	5	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 22:09:16
7	1007	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 22:11:08
8	1008	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 22:18:15
9	1009	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 22:19:35
10	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 22:30:56
11	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 22:33:48
12	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 22:34:37
13	1013	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 22:45:41
14	1012	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 22:47:24
15	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 23:06:16
16	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 23:06:59
17	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 23:13:04
18	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 23:21:39
19	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 23:22:15
20	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 23:24:29
21	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 23:28:44
22	1010	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 23:30:13
23	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 23:31:20
24	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 23:33:27
25	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 23:35:58
26	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 23:47:57
27	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	02.04.2025 23:51:18
1002	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	03.04.2025 16:32:54
1003	6	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	03.04.2025 16:34:39
3002	2006	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	12.04.2025 17:09:44
3003	3004	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	12.04.2025 17:18:54
3004	3004	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	12.04.2025 17:22:56
3005	3004	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	12.04.2025 17:25:52
4002	3004	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	16.04.2025 20:42:06
5002	3004	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	16.04.2025 21:13:54
5003	4004	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	16.04.2025 21:20:55
5004	4004	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	16.04.2025 21:21:58
5005	4006	cdf03cbf-3c65-4f46-8fea-e76937d98e9b	16.04.2025 21:22:45
